Track_Artist,Track,Artist,Release Date,Release Year,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Stimmung,Tempo,Key,Mode,Energy,Danceability,Beats per Bar,Track-URI,Album,Track-Popularity,Track-Bild,Artist-URI,Follower,Genre,Popularity,Artist-Bild
MILLION DOLLAR BABYTommy Richman,MILLION DOLLAR BABY,Tommy Richman,4/26/2024,2024,QM24S2402528,1,725.4,390470936,30716,196631588,92,84274754,1713126,5767700,651565900,5332281936,150597040,210,40975,684,62,17598718,114,18004655,22931,4818457,2669262,0,,,,,,,,,,,,,,,,
Not Like UsKendrick Lamar,Not Like Us,Kendrick Lamar,5/4/2024,2024,USUG12400910,2,545.9,323703884,28113,174597137,92,116347040,3486739,6747,35223547,208339025,156380351,188,40778,3,67,10422430,111,7780028,28444,6623075,1118279,1,,,,,,,,,,,,,,,,
i like the way you kiss meArtemas,i like the way you kiss me,Artemas,3/19/2024,2024,QZJ842400387,3,538.4,601309283,54331,211607669,92,122599116,2228730,3025400,275154237,3369120610,373784955,190,74333,536,136,36321847,172,5022621,5639,7208651,5285340,0,,,,,,,,,,,,,,,,
FlowersMiley Cyrus,Flowers,Miley Cyrus,1/12/2023,2023,USSM12209777,4,444.9,2031280633,269802,136569078,85,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394,1474799,2182,264,24684248,210,190260277,203384,,11822942,0,,,,,,,,,,,,,,,,
HoudiniEminem,Houdini,Eminem,5/31/2024,2024,USUG12403398,5,423.3,107034922,7223,151469874,88,77373957,3670188,164,,,112763851,182,12185,1,82,17660624,105,4493884,7006,207179,457017,1,,,,,,,,,,,,,,,,
Lovin On MeJack Harlow,Lovin On Me,Jack Harlow,11/10/2023,2023,USAT22311371,6,410.1,670665438,105892,175421034,83,131148091,1392593,4202367,214943489,2938686633,2867222632,138,522042,4654,86,17167254,152,138529362,50982,9438601,4517131,1,,,,,,,,,,,,,,,,
Beautiful ThingsBenson Boone,Beautiful Things,Benson Boone,1/18/2024,2024,USWB12307016,7,407.2,900158751,73118,201585714,86,308723145,4120760,,29584940,534915313,4601579812,280,383478,429,168,48197850,154,65447476,57372,,9990302,0,,,,,,,,,,,,,,,,
Gata OnlyFloyyMenor,Gata Only,FloyyMenor,2/2/2024,2024,QZL382406049,8,375.8,675079153,40094,211236940,92,228382568,1439495,3500000,338546668,3804584163,2112581620,160,17221,30,87,33245595,53,3372428,5762,,6063523,1,,,,,,,,,,,,,,,,
Danza Kuduro - CoverMUSIC LAB JPN,Danza Kuduro - Cover,MUSIC LAB JPN,6/9/2024,2024,TCJPA2463708,9,355.7,1653018119,1,15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
BAND4BAND (feat. Lil Baby)Central Cee,BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,2024,USSM12404354,10,330.6,90676573,104,184199419,86,32735244,988682,3258,121574500,974656200,174706874,191,3823,117,78,10800098,92,1005626,842,3679709,666302,1,,,,,,,,,,,,,,,,
I Had Some Help (feat. Morgan Wallen)Post Malone,I Had Some Help (feat. Morgan Wallen),Post Malone,5/10/2024,2024,USUM72404990,11,322.1,250080413,16219,168766158,91,32229063,550191,,1845,2100000,327130768,157,62312,71,60,12009073,114,23155471,21172,1594605,963413,1,,,,,,,,,,,,,,,,
The DoorTeddy Swims,The Door,Teddy Swims,6/14/2024,2024,USWB12402486,12,320.2,111155129,2,263767,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,
LUNCHBillie Eilish,LUNCH,Billie Eilish,5/17/2024,2024,USUM72401991,13,316.3,221636195,138,197280692,92,40022524,1307290,1953,45889000,360017000,342107131,244,41344,45,138,38243636,163,1354692,1219,1313357,450344,0,,,,,,,,,,,,,,,,
Like ThatFuture,Like That,Future,3/22/2024,2024,USSM12402041,14,308.2,355186436,43025,108168634,88,98081493,1456177,,,,174491415,153,90237,3,55,3001826,109,26252264,18364,12038034,1963314,1,,,,,,,,,,,,,,,,
bathroom floorKids With Buns,bathroom floor,Kids With Buns,10/7/2022,2022,NLC242100307,15,301.6,297185,277,24445,12,6736502312,16785489,3,1088,22234,,1,1057,,,,,,,,3288,0,,,,,,,,,,,,,,,,
LALAMyke Towers,LALA,Myke Towers,3/22/2023,2023,USWL12300002,16,299.9,925655569,103605,79944921,79,934302031,4294166,11054500,521725116,7499234052,2042145659,94,92231,228,60,5633435,83,12171026,13242,871978,2765808,1,,,,,,,,,,,,,,,,
Fortnight (feat. Post Malone)Taylor Swift,Fortnight (feat. Post Malone),Taylor Swift,4/18/2024,2024,USUG12401028,17,297.6,395433400,12784,177932568,89,104673836,2484083,1393,25348800,207317000,268893710,221,129968,3,99,37988531,134,9961769,13437,377734,1210029,0,,,,,,,,,,,,,,,,
greedyTate McRae,greedy,Tate McRae,9/14/2023,2023,USRC12301932,18,293.7,1258569694,105218,198845580,87,141646818,1514837,2294429,419319161,5456156211,2667285437,207,667329,331,188,21788568,150,44850379,1227,,6973652,1,,,,,,,,,,,,,,,,
BLUEBillie Eilish,BLUE,Billie Eilish,5/17/2024,2024,USUM72401996,19,292.6,91272461,6499,52287548,86,16038053,569377,9419,119740900,1225345800,5839168,76,181,1,24,5054005,33,283089,162,975891,257661,0,,,,,,,,,,,,,,,,
As It WasHarry Styles,As It Was,Harry Styles,3/31/2022,2022,USSM12200612,20,292,3301814535,407119,169783402,87,800899315,9101589,2755903,1633970617,15405881843,7289707052,455,1777811,4909,330,12907852,189,132624772,79909,,14967379,0,,,,,,,,,,,,,,,,
Paint The Town RedDoja Cat,Paint The Town Red,Doja Cat,8/4/2023,2023,USRC12300907,21,290.5,1065399331,17089,121712197,78,240970670,2749668,3091732,652428798,7095564106,1063591802,158,400899,273,143,13718632,146,70291476,49111,,7559816,1,,,,,,,,,,,,,,,,
EspressoSabrina Carpenter,Espresso,Sabrina Carpenter,4/12/2024,2024,USUM72403305,22,281.5,547882871,24425,262343414,95,107550212,1825761,2092,169144295,1379499000,422646034,298,37208,236,167,41414565,149,10362898,10848,1551157,1373085,1,,,,,,,,,,,,,,,,
Danza Kuduro - CoverMUSIC LAB JPN,Danza Kuduro - Cover,MUSIC LAB JPN,6/9/2024,2024,TCJPA2463708,9,355.7,1653018119,1,15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
TEXAS HOLD 'EMBeyoncï¿,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,2024,USSM12401302,24,278.9,426700979,34044,152928632,86,35724356,43798,1470500,485200392,6518604175,1213175656,159,309497,257,194,40725482,177,13860535,36282,,2100708,1,,,,,,,,,,,,,,,,
Futureofficial sound studio,Future,official sound studio,1/10/2024,2024,RUA1H2415548,25,277.5,,1,2,,,,9453333,273236305,4306269694,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Beat Automotivo Tan Tan Tan ViralWZ Beat,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,2022,BXWEH2200054,26,268.1,7382759,3504,661084,35,4233958,6999,37621885,1636811753,22918660728,,1,,439,1,6,1,,,,633525,0,,,,,,,,,,,,,,,,
STAY (with Justin Bieber)The Kid LAROI,STAY (with Justin Bieber),The Kid LAROI,7/9/2021,2021,USSM12103949,27,266.3,3107100349,451732,134793519,78,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513,1510151,4096,166,5783693,128,196783487,124922,36341585,,1,,,,,,,,,,,,,,,,
Baby SharkPinkfong,Baby Shark,Pinkfong,12/1/2015,2015,KRE671700001,28,265.7,720822868,60945,7530769,71,16322756555,48757673,7743800,281762094,6577639193,2166611,33,284,142,19,52179,17,86458847,2234137,,2064420,0,upbeat,115,G♯/A♭­,major,high energy,very danceable,4,5ygDXis42ncn6kYG14lEVG,Pinkfong Animal Songs,74,https://i.scdn.co/image/ab67616d0000b27311723f2867f29b2134ae47e4,7cTXfwpe9peK0UE1bZyIWZ,388974,children's music,69,https://i.scdn.co/image/ab6761610000e5eb730d0b0210405e82447ca082
we can't be friends (wait for your love)Ariana Grande,we can't be friends (wait for your love),Ariana Grande,3/8/2024,2024,USUM72317276,29,262.8,591068364,26203,197494995,87,156882014,3080503,,,,578568464,194,20023,32,117,22062193,126,10106573,7689,1612479,1579980,0,,,,,,,,,,,,,,,,
Numb / EncoreJAY-Z,Numb / Encore,JAY-Z,4/12/2024,2024,USWB12400678,30,256,1003215671,128,485454,,,,,,,,,,,,,,179867721,87209,,4474248,1,,,,,,,,,,,,,,,,
Danza Kuduro - CoverLOVE BGM JPN,Danza Kuduro - Cover,LOVE BGM JPN,5/14/2024,2024,TCJPA2406007,31,249.8,1645079292,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
SHEESHBABYMONSTER,SHEESH,BABYMONSTER,4/1/2024,2024,KRA402400016,32,237.5,124893397,3479,25936342,82,359896095,4907193,2125,48327004,390081328,38798822,36,2188,32,3,347997,26,130743,592,26567,191867,0,,,,,,,,,,,,,,,,
WaterTyla,Water,Tyla,7/28/2023,2023,USSM12305126,33,234.6,670376179,9845,150471020,83,265180930,2566846,2114363,369150956,3932956380,3031114430,225,486952,1215,180,19469488,188,40418532,27555,6049784,6447136,0,,,,,,,,,,,,,,,,
StrangersKenya Grace,Strangers,Kenya Grace,9/1/2023,2023,USWB12305048,34,233.5,750154960,139141,103879363,79,118208096,1495758,1031447,196985853,2231749390,1745168821,163,378114,856,113,16295286,112,20228317,5331,10938075,7477917,0,,,,,,,,,,,,,,,,
Too SweetHozier,Too Sweet,Hozier,3/22/2024,2024,USSM12401865,35,231.6,532012790,23557,67488850,,62123098,923733,,,,384716227,221,15199,64,42,658517,47,31032977,23005,1516649,,0,,,,,,,,,,,,,,,,
What's Love Got to Do with It - 2023 RemasterTina Turner,What's Love Got to Do with It - 2023 Remaster,Tina Turner,4/26/2024,2024,GBAYE2300351,36,230,479417905,7,1519,,,,,,,,,,,,,1,121250721,83632,,3692067,0,,,,,,,,,,,,,,,,
A Bar Song (Tipsy)Shaboozey,A Bar Song (Tipsy),Shaboozey,4/12/2024,2024,USUYG1541249,37,226.4,311928522,25766,180237463,96,62694868,837616,,27811667,378313942,243895569,149,,141,58,26516005,146,21453034,3018,4482348,1707213,1,,,,,,,,,,,,,,,,
Lose ControlTeddy Swims,Lose Control,Teddy Swims,6/23/2023,2023,USWB12302315,38,224.1,775135157,88239,180617454,87,139180960,1504385,39656,49060857,597513595,4016801205,215,605841,162,133,42675181,120,253538985,72429,5409388,10517831,0,,,,,,,,,,,,,,,,
fukumeanGunna,fukumean,Gunna,6/15/2023,2023,USAT22306575,39,221.1,759998727,188142,80392612,80,94699547,1222012,1237229,311252391,3281790327,140623676,123,265291,4003,40,2225409,88,64456799,20518,33130829,3945184,1,,,,,,,,,,,,,,,,
Dance MonkeyTones And I,Dance Monkey,Tones And I,5/10/2019,2019,QZES71982312,40,214.5,3071214106,375201,64901153,71,3366447481,27240268,10342366,393814740,5861939942,2428166573,549,573733,169,584,5749770,121,373294159,844198,37430204,44842636,0,,98,,,energy,danceable,,2N8m6CYs74qQO4mjVcXO30,Welcome To The Madhouse (Deluxe),71,https://i.scdn.co/image/ab67616d0000b2738e8197111f9d57793a5e7eff,2NjfBq1NflQcKSeiDooVjY,2960031,,69,https://i.scdn.co/image/ab6761610000e5eb8bbb776368161a8258cbca3a
BIRDS OF A FEATHERBillie Eilish,BIRDS OF A FEATHER,Billie Eilish,5/17/2024,2024,USUM72401994,41,212.8,214237645,10871,202626837,92,11033725,251373,2512,71078500,443104700,148058631,247,34,8,67,11523335,125,840442,2592,1369981,285858,0,,,,,,,,,,,,,,,,
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spesped up 8282,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,2023,KRA252300672,42,211.2,170970614,27827,5784546,41,22280037,334523,14348249,948225544,12196985599,,2,672,,4,35737,9,27061,317,,,1,,,,,,,,,,,,,,,,
I'm Good (Blue)David Guetta,I'm Good (Blue),David Guetta,8/26/2022,2022,UKWLG2200055,43,209.6,1658229422,262248,239957538,83,466080689,4324989,728093,54258768,1051836430,1425853925,285,93519,2487,207,6479623,168,139926990,31235,8007236,10973120,1,,,,,,,,,,,,,,,,
DaylightDavid Kushner,Daylight,David Kushner,4/14/2023,2023,QZXDB2300005,44,207,1126820069,1778,85255689,82,274070101,3701289,2557115,285329503,2578518632,1205538057,163,259255,96,77,3413707,80,28924685,14634,9505098,8681350,0,,,,,,,,,,,,,,,,
My Love Mine All MineMitski,My Love Mine All Mine,Mitski,9/15/2023,2023,USJ5G2335007,45,206.2,997702304,105927,92834002,86,48093111,959175,3648759,857220853,5469808282,298259422,91,36285,2676,63,10874749,110,6151267,916,7980051,2682219,0,,,,,,,,,,,,,,,,
Please Please PleaseSabrina Carpenter,Please Please Please,Sabrina Carpenter,6/6/2024,2024,USUM72404101,46,205.7,59314441,2572,183043096,83,22374807,1026097,,1882,1200000,110446147,199,2359,2,73,13686074,98,360163,758,9883,47115,1,,,,,,,,,,,,,,,,
HoudiniDua Lipa,Houdini,Dua Lipa,11/9/2023,2023,GBAHT2301246,47,205.1,493627071,453,87874006,80,150571504,1575378,935,35970610,386610043,3129834452,174,56464,405,146,28246184,127,25843941,3694,1991527,2389957,0,,,,,,,,,,,,,,,,
Danza Kuduro - CoverMUSIC LAB JPN,Danza Kuduro - Cover,MUSIC LAB JPN,6/9/2024,2024,TCJPA2463708,9,355.7,1653018119,1,15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
If We Ever Broke UpMae Stephens,If We Ever Broke Up,Mae Stephens,2/10/2023,2023,GBUM72300969,49,203.6,304929492,43923,46133083,69,61986821,921044,13872768,390207653,5684815935,19218089,78,92638,822,41,3467570,36,7444354,7188,,2227494,1,,,,,,,,,,,,,,,,
DespacitoLuis Fonsi,Despacito,Luis Fonsi,1/13/2017,2017,USUM71607007,50,203.5,1747093405,178114,49464650,74,9537135721,61799279,799338,78304409,1143297071,569548901,179,121234,116,145,1977014,118,266603596,2359900,,19622551,0,exuberant,89,D,major,high energy,very danceable,4,6habFhsOp2NvshLv26DqMb,VIDA,78,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c,4V8Sr092TqfHkfAA5fXXqG,10718515,latin,74,https://i.scdn.co/image/ab6761610000e5eb2620d7e19f51d9c4b7e853ce
euphoriaKendrick Lamar,euphoria,Kendrick Lamar,4/30/2024,2024,USUG12402839,51,202.1,168434320,17168,62516401,86,53604746,1846535,,,,174375427,65,6408,77,20,428378,31,3156727,4843,4304870,654482,1,,,,,,,,,,,,,,,,
Panda BasiMvua,Panda Basi,Mvua,2/10/2023,2023,GX3Q92333626,52,200.3,104271,249,8585,25,2457026781,,190,36666,39358,,,12,,,,,,,,1881,0,,,,,,,,,,,,,,,,
Calm Down (with Selena Gomez)Rema,Calm Down (with Selena Gomez),Rema,8/25/2022,2022,NGA3B2214021,53,198,1391688322,163876,130963116,77,902742581,8099187,599,48035,2857920,750030685,316,1107265,,112,11937930,146,52073859,41487,5820026,3521951,0,,,,,,,,,,,,,,,,
Shape of YouEd Sheeran,Shape of You,Ed Sheeran,1/6/2017,2017,GBAHS1600463,54,195.1,3909458734,316378,148037882,80,8013997219,45770887,2270315,194420058,2320856331,2294804623,465,402829,282,512,2710931,115,733565655,651557,78149375,1146246,0,exuberant,96,C♯/D♭­,minor,high energy,very danceable,4,7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),85,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,6eUKZXaKkcviH0Ku9w2n3V,118562269,soft pop,88,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9
MituMaian,Mitu,Maian,1/19/2023,2023,EEUM72300001,55,194.3,55346,42,16861,13,2432265978,8162101,,,,,,53,,,,,,,,200,0,,,,,,,,,,,,,,,,
Blinding LightsThe Weeknd,Blinding Lights,The Weeknd,11/29/2019,2019,USUG11904206,56,194,4281468720,590392,165544011,83,833807130,10093211,2882064,337322563,3501177394,2258085924,859,1695240,1116,564,11701129,184,489299762,319634,28659471,28994660,0,,171,,,energy,danceable,,0VjIjW4GlUZAMYd2vXMi3b,After Hours,87,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,1Xyo4u8uXC1ZmMpatF05PJ,98191063,,95,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
Creepin' (with The Weeknd & 21 Savage)Metro Boomin,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,12/2/2022,2022,USUG12208791,57,192.3,1337619917,228295,64806723,80,193982443,2023998,423714,148085419,1268862678,444033037,152,952186,34,58,2134791,66,77382416,28694,,6205060,1,,,,,,,,,,,,,,,,
Dona FelicidadePatati Patatï¿,Dona Felicidade,Patati Patatï¿,6/4/2024,2024,QZNJW2423715,58,190,,2,41206,,52480069,82092,,,,,,,,1,1657,,,,,,0,,,,,,,,,,,,,,,,
Danza Kuduro - CoverMUSIC LAB JPN,Danza Kuduro - Cover,MUSIC LAB JPN,6/9/2024,2024,TCJPA2463708,9,355.7,1653018119,1,15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Unholy (feat. Kim Petras)Sam Smith,Unholy (feat. Kim Petras),Sam Smith,9/22/2022,2022,GBUM72205415,60,189.1,1556275789,210583,95974138,74,254051906,3364206,2379787,683088623,7945975878,1524133775,203,718849,117,63,1616564,167,111398743,71335,10424892,10192485,0,,,,,,,,,,,,,,,,
Stereo Love - MelodicEdward Maya,Stereo Love - Melodic,Edward Maya,6/5/2024,2024,ROCMA2413380,61,187.9,,2,135,9,,,,,,,,,,,,,420235997,885123,,,0,,,,,,,,,,,,,,,,
Very Cute Melody by Marimba Tone (39813)mitsu sound,Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,2023,RUA1H2406425,62,186.5,1384,2,801,,222076,543,5013500,605320683,8811416708,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Supernovaaespa,Supernova,aespa,5/13/2024,2024,KRA302400090,63,186.1,69729033,2483,21046278,81,111310770,1724693,566,61038623,393973528,32059104,40,709,13,7,544322,14,45515,100,255951,63283,0,,,,,,,,,,,,,,,,
Me Porto BonitoBad Bunny,Me Porto Bonito,Bad Bunny,5/6/2022,2022,QM6MZ2214877,64,184.8,1811990630,173358,67603671,79,1516863120,8870768,4506600,549886060,6470937272,934894575,124,7712,327,44,14871714,63,111324744,39123,,3393920,1,,,,,,,,,,,,,,,,
Back That Azz Up (feat. Lil Wayne & Mannie Fresh)JUVENILE,Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,3/29/2024,2024,USCM52400059,65,181.4,199929812,4,98,,,,,,,,1,,,,,,390345308,399793,,,1,,,,,,,,,,,,,,,,
Calm DownRema,Calm Down,Rema,2/10/2022,2022,NGA3B2214004,66,180.1,584427088,182994,19203258,68,1141904909,8766235,6129450,856216952,18216656774,2952879912,138,191634,759,53,3481756,45,98290873,46039,14668216,22563407,0,,,,,,,,,,,,,,,,
CARNIVALıı$,CARNIVAL,ıı$,2/8/2024,2024,QZ7XS2400012,67,179.6,466887055,53842,103935623,84,27688666,449112,,,,33817299,42,53333,,11,199915,29,1359484,11303,11703609,1982000,1,,,,,,,,,,,,,,,,
Kill BillSZA,Kill Bill,SZA,12/8/2022,2022,USRC12204584,68,177.7,1873746537,190202,99546318,82,220538045,3153793,26643,152410048,1284413960,426461749,214,655242,5448,73,1304067,122,57350590,6127,16992932,4873832,0,,,,,,,,,,,,,,,,
"What Was I Made For? [From The Motion Picture ""Barbie""]Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,7/13/2023,2023,USUM72307484,69,177.6,891720245,11456,97542546,82,144741616,2761964,1443103,498822693,3998086216,1384310160,168,275119,68,108,10920686,111,39374594,19921,5418596,4476509,0,,,,,,,,,,,,,,,,
BabbaGuy Mac,Babba,Guy Mac,3/3/2023,2023,QZA742305720,70,176.2,46567,252,2193,6,2038459981,6076902,,,,,2,29,,,,,1456,,,903,0,,,,,,,,,,,,,,,,
Heat WavesGlass Animals,Heat Waves,Glass Animals,6/29/2020,2020,GBUM72000433,71,175,2996181078,486278,112416489,82,1272898075,14947520,1416295,513334446,5518429969,4899313022,459,1414326,1434,170,11862378,95,122247640,160431,,17848778,0,,81,B,major,average energy,very danceable,4,3USxtqRwSYz57Ewm6wWRMp,Dreamland,84,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,4yvcSjfu4PC0CYQyLy4wSq,4383881,,75,https://i.scdn.co/image/ab6761610000e5ebeb2cc96b0ed023c5e3675b6f
In the EndLinkin Park,In the End,Linkin Park,4/12/2024,2024,USWB11201322,72,174.8,2045512421,97,488602,,,,,,,,,,,,,2,,,,,0,,105,D♯/E♭­,minor,high energy,somewhat danceable,4,60a0Rd6pjrkxjPbaKzXjfq,Hybrid Theory (Bonus Edition),86,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,6XyY86QOPPrYVGvF9ch6wz,28435670,nu metal,90,https://i.scdn.co/image/ab6761610000e5ebc7e6bd9e65eab62a53355576
"Shakira: Bzrp Music Sessions, Vol. 53Bizarrap","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,2023,UYB282301031,73,174.3,946941510,10013,74836321,74,776436101,12951756,4210895,797017650,11936401096,457987382,110,16567,180,106,4971379,92,48806666,10225,,2237762,0,,,,,,,,,,,,,,,,
The Way We Move - Extended MixPowerDress,The Way We Move - Extended Mix,PowerDress,3/10/2023,2023,UKACT2330463,74,173.6,7909,38,15023,4,1999374091,5708577,,,,,,59,,,,,,,,1412,0,,,,,,,,,,,,,,,,
Old Town RoadLil Nas X,Old Town Road,Lil Nas X,3/14/2019,2019,USSM11901941,75,170.3,1010494713,127393,18652312,67,3203314695,41487213,5757883,187301054,1981431049,939714925,63,4978,2195,64,397418,100,181784010,2022074,106880548,8856633,0,,136,,,energy,danceable,,0F7FA14euOIX8KcbEturGH,7,70,https://i.scdn.co/image/ab67616d0000b2736239187793c9e492e687db01,7jVv8c5Fj3E9VhNjxT4snq,12390804,,75,https://i.scdn.co/image/ab6761610000e5eb3758a33e782b46bd7f174e1d
un x100toGrupo Frontera,un x100to,Grupo Frontera,4/17/2023,2023,QM6N22311285,76,170.2,1008495696,99381,57394938,75,878892413,4425283,796603,127651887,1669065906,1522934425,101,73481,225,42,5734172,81,55857743,15528,,2283747,0,,,,,,,,,,,,,,,,
Laxed ï¿½ï¿½ï¿½ SireJawsh 685,Laxed ï¿½ï¿½ï¿½ Sire,Jawsh 685,4/24/2020,2020,NZAM02001128,77,168.9,,1023,1142937,,12489728,339414,42900000,919945708,12221514692,,,,,,,,5678792,,,,0,,,,,,,,,,,,,,,,
SprinterDave,Sprinter,Dave,6/1/2023,2023,GBUM72305159,78,168.1,692512930,199828,55464762,78,219666692,2332307,731797,130560533,1254944697,918145630,155,42082,36,41,1790031,76,411656,3414,12405917,3093667,1,,,,,,,,,,,,,,,,
CHIHIROBillie Eilish,CHIHIRO,Billie Eilish,5/17/2024,2024,USUM72401988,79,167.8,169410711,11028,144854768,90,19402457,997411,284,,,260377114,185,1008,,53,20737850,59,521322,698,1680434,388625,0,,,,,,,,,,,,,,,,
TQGKAROL G,TQG,KAROL G,2/23/2023,2023,USUM72222541,80,167.8,1024381758,78554,69319589,78,1102289596,8953293,457111,15048444,248168852,1174053183,138,149584,38,84,8850320,131,68022934,16511,164895,3488226,1,,,,,,,,,,,,,,,,
PerfectEd Sheeran,Perfect,Ed Sheeran,3/3/2017,2017,GBAHS1700024,81,167.5,2969999682,280165,116921604,81,6473698897,39632673,6642975,601244764,7647479866,1708317539,208,263386,129,343,1242581,102,617483078,595052,,,0,,97,G,major,low energy,not very danceable,3,0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),85,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,6eUKZXaKkcviH0Ku9w2n3V,118562269,soft pop,88,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9
PepasFarruko,Pepas,Farruko,6/24/2021,2021,USSD12100307,82,167.3,1500499584,359502,125112486,74,1431591689,11553088,2866181,290811371,4067248819,782475986,258,240677,438,137,4015523,102,120046948,89582,6227,17210946,1,,,,,,,,,,,,,,,,
PeekabooDave Angel,Peekaboo,Dave Angel,1/27/2023,2023,GBLTF2300027,83,167.2,8082,63,32758,,2055940513,4150967,,,,,1,13,,,,,,,,442,0,,,,,,,,,,,,,,,,
Ella Baila SolaEslabon Armado,Ella Baila Sola,Eslabon Armado,3/16/2023,2023,USE7D2300007,84,166.5,1215336974,129463,39814172,74,701880622,3831236,5416,550073,15373104,546259059,83,40153,227,24,4946338,61,84378219,5389,17115523,3435177,0,,,,,,,,,,,,,,,,
Dance The Night - From Barbie The AlbumDua Lipa,Dance The Night - From Barbie The Album,Dua Lipa,5/25/2023,2023,USAT22305457,85,166.2,860026452,74769,139913794,80,173044031,1640319,175536,90924917,1227837850,1205266954,7,759185,11,82,4067956,,64567514,22064,1843883,3199636,0,,,,,,,,,,,,,,,,
La Bebe - RemixYng Lvcas,La Bebe - Remix,Yng Lvcas,3/17/2023,2023,MXF152300159,86,164.9,1032225805,94887,74469479,79,920878032,3118229,1031612,116003972,2416141351,1690231413,83,57941,177,42,3360878,48,55410702,27415,230579,2635577,1,,,,,,,,,,,,,,,,
redrum21 Savage,redrum,21 Savage,1/12/2024,2024,USSM12309164,87,164.8,428233003,57311,144298748,,105148629,1762297,872,6732800,43993800,977638660,74,102457,56,48,4037475,60,16802867,11821,,2490071,1,,,,,,,,,,,,,,,,
Easy On MeAdele,Easy On Me,Adele,10/14/2021,2021,USSM12105970,88,163.2,1720918065,209635,93875458,73,1194846205,13561925,1912194,733101955,7860224413,6353555150,325,774277,1316,257,5323750,100,203324731,126594,,7569155,0,,,,,,,,,,,,,,,,
Titï¿½ï¿½ Me PreguBad Bunny,Titï¿½ï¿½ Me Pregu,Bad Bunny,5/6/2022,2022,QM6MZ2214878,89,163.1,1514239759,190692,77283361,77,1366181141,9358441,1769068,475656543,5249863696,488048337,150,14564,920,44,5591928,108,69095169,81914,,5133847,1,,,,,,,,,,,,,,,,
All My Life (feat. J. Cole)Lil Durk,All My Life (feat. J. Cole),Lil Durk,5/12/2023,2023,USQX92302957,90,162,333202114,108322,41018697,68,203487345,2084532,928132,63253779,748253884,735908540,148,346411,146,30,1277729,60,90114807,46789,16620102,4207535,1,,,,,,,,,,,,,,,,
Anti-HeroTaylor Swift,Anti-Hero,Taylor Swift,10/21/2022,2022,USUG12205736,91,161.8,1563224246,117005,97456780,80,203259285,3482508,1302967,376660493,3864505972,724976542,261,1034319,1088,74,4457357,150,92338994,45974,,4703179,0,,,,,,,,,,,,,,,,
"Quevedo: Bzrp Music Sessions, Vol. 52Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,2022,UYB282201028,92,161.7,1692951462,20949,88591675,78,1132539234,8795731,1212100,196608777,2054826154,56677146,99,138254,37,58,5211955,65,18052815,5213,4099686,6836893,0,,,,,,,,,,,,,,,,
