Track_Artist,Track,Artist,Release Date,Release Year,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Stimmung,Tempo,Key,Mode,Energy,Danceability,Beats per Bar,Track-URI,Album,Track-Popularity,Track-Bild,Artist-URI,Follower,Genre,Popularity,Artist-Bild
HomeEdith Whiskers,Home,Edith Whiskers,10/16/2020,2020,GBVHN2000009,1441,38.8,382143321,98433,18158287,65,97046738,1206503,3427248,1773657538,12626614888,11006,7,116,176,5,100685,,1117990,2788,6306655,3370245,0,somber,120,D,major,low energy,very danceable,4,2qPSa6HXjzwa9sLhNGpA1T,Home,68,https://i.scdn.co/image/ab67616d0000b2734f897f1e76b319a870384546,15K8w0bfYieOr55vhSMgJN,173226,,63,https://i.scdn.co/image/ab6761610000e5eb2e4ab0376eb7be1f9d93b730
The London (feat. J. Cole & Travis Scott)Young Thug,The London (feat. J. Cole & Travis Scott),Young Thug,5/23/2019,2019,USAT21903320,1438,38.8,729825680,15538,26351002,62,286183927,2353107,33462,5970654,63035109,222320277,90,65842,101,37,721934,26,63014064,21492,40918654,2792929,1,,,,,,,,,,,,,,,,
Si Te Pudiera MentirCalibre 50,Si Te Pudiera Mentir,Calibre 50,8/16/2019,2019,QM2EJ1500417,1444,38.7,497062969,39746,21866121,69,1089614100,3109366,6664,63170710,774581354,51691986,16,12701,72,14,1854950,36,73581243,13494,,1647173,0,exuberant,90,D,major,average energy,very danceable,4,3p6eieHX6oEOzJStPtEsLu,Simplemente Gracias,74,https://i.scdn.co/image/ab67616d0000b273ed88a900a0f56464d141906a,4jogXSSvlyMkODGSZ2wc2P,11987183,banda,76,https://i.scdn.co/image/ab6761610000e5ebd1300eec98eaa03843ae7cc2
One Of Your GirlsTroye Sivan,One Of Your Girls,Troye Sivan,10/13/2023,2023,AUUM72300179,1443,38.7,222373201,24491,38080713,,31161634,63786,58124,63927414,568978171,1674766604,50,3141,144,36,1130992,37,553799,1079,,556768,0,,,,,,,,,,,,,,,,
Tell EmCochise,Tell Em,Cochise,5/28/2021,2021,USSM12103018,1442,38.7,499262863,156928,20525072,70,131002845,1651190,210388,100113236,685647449,16171132,22,272,53,7,67108,,3380486,9659,,3065126,1,,,,,,,,,,,,,,,,
Close EyesDVRST,Close Eyes,DVRST,2/1/2021,2021,QZHN82186053,1448,38.6,495840131,118862,32562324,70,387463291,5208321,449015,241463961,2643309542,29716281,27,1608,,4,8384,2,5168428,5733,,3204964,1,,,,,,,,,,,,,,,,
Mr Pot ScraperBossman Dlow,Mr Pot Scraper,Bossman Dlow,2/23/2024,2024,USQX92400597,1446,38.6,19565712,3586,6501678,,32474495,238892,,7618281,51520600,189230651,16,26,128,5,12944,10,2831222,2605,3809282,271898,1,,,,,,,,,,,,,,,,
LA DURANGOPeso Pluma,LA DURANGO,Peso Pluma,5/9/2024,2024,QM6N22400640,1447,38.6,42032763,2684,48467220,79,12120768,209919,,,,2297932,28,17,,7,1333180,25,1015922,311,,79826,1,,,,,,,,,,,,,,,,
Please MeCardi B,Please Me,Cardi B,2/15/2019,2019,USAT21811659,1449,38.6,551035247,58065,19199798,70,709288321,7563367,419566,38208611,244717002,459597096,42,51761,33,35,348557,13,191472793,129256,25841765,2677590,1,upbeat,134,C♯/D♭­,major,average energy,very danceable,4,0PG9fbaaHFHfre2gUVo7AN,Please Me,76,https://i.scdn.co/image/ab67616d0000b273288883647008cefba0db5402,4kYSro6naA4h99UJvo89HB,24956456,,79,https://i.scdn.co/image/ab6761610000e5eb4e8a7e14e2f602eb9af24e31
El Hijo MayorJunior H,El Hijo Mayor,Junior H,5/20/2022,2022,USWL12200441,145,38.6,357445095,30881,19190261,71,402629804,1360903,2378,53362153,717809876,7535944,6,10,,4,155594,5,5916348,4154,2487805,686504,1,,,,,,,,,,,,,,,,
"Ruqya, Pt. 3Hani Rifai","Ruqya, Pt. 3",Hani Rifai,6/9/2014,2014,FR6V82562979,1445,38.6,,,,,,,,,,,,,,,,,,,,219794543,0,,,,,,,,,,,,,,,,
LA FAMAROSALï¿½,LA FAMA,ROSALï¿½,11/11/2021,2021,USSM12107750,1453,38.5,459476092,79169,20678333,69,301677718,2245842,55272,38358977,399821879,462649059,87,6371,464,46,1485067,45,3528286,5647,,3574604,0,,,,,,,,,,,,,,,,
TIL FURTHER NOTICETravis Scott,TIL FURTHER NOTICE,Travis Scott,7/28/2023,2023,USSM12305020,1451,38.5,133152051,55843,7668430,71,10008757,138349,2927,964979,7150381,2984,8,41,,4,113267,,622713,531,,478358,1,,,,,,,,,,,,,,,,
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]J Balvin","Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",J Balvin,6/18/2021,2021,QZ5BF1600040,1454,38.5,347951927,60696,17980948,61,597413972,2596959,26,6485132,91298035,169301786,78,21323,9,17,1666687,29,31517568,6884,,1143010,0,,,,,,,,,,,,,,,,
LOKERARauw Alejandro,LOKERA,Rauw Alejandro,7/25/2022,2022,USSD12200700,1452,38.5,656416971,74344,55382119,75,58769088,325798,293693,109562958,1039707434,,75,35346,249,29,2015748,47,33566910,4454,,1394827,1,,,,,,,,,,,,,,,,
cardiganTaylor Swift,cardigan,Taylor Swift,7/24/2020,2020,USUG12002836,1458,38.4,1307283069,94169,67796903,80,250157022,3792791,1470630,374412871,2941268049,280717147,131,54624,11,104,361732,85,21437551,24674,,4686324,0,,130,C,minor,average energy,very danceable,4,4R2kfaDFhslZEMJqAFNpdd,folklore,82,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,06HL4z0CvFAxyc27GXpf02,130662950,,98,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
